"key","type","code"
"1000100","METHOD","ff_hpeldsp_vp3_init_x86"
"1000101","PARAM","HpelDSPContext *c"
"1000102","PARAM","int cpu_flags"
"1000103","PARAM","int flags"
"1000105","CONTROL_STRUCTURE","if (EXTERNAL_AMD3DNOW(cpu_flags))"
"1000106","EXTERNAL_AMD3DNOW","EXTERNAL_AMD3DNOW(cpu_flags)"
"1000107","IDENTIFIER","cpu_flags"
"1000109","CONTROL_STRUCTURE","if (flags & AV_CODEC_FLAG_BITEXACT)"
"1000110","<operator>.and","flags & AV_CODEC_FLAG_BITEXACT"
"1000111","IDENTIFIER","flags"
"1000112","IDENTIFIER","AV_CODEC_FLAG_BITEXACT"
"1000114","<operator>.assignment","c->put_no_rnd_pixels_tab[1][1] = ff_put_no_rnd_pixels8_x2_exact_3dnow"
"1000115","<operator>.indirectIndexAccess","c->put_no_rnd_pixels_tab[1][1]"
"1000116","<operator>.indirectIndexAccess","c->put_no_rnd_pixels_tab[1]"
"1000117","<operator>.indirectFieldAccess","c->put_no_rnd_pixels_tab"
"1000118","IDENTIFIER","c"
"1000119","FIELD_IDENTIFIER","put_no_rnd_pixels_tab"
"1000120","LITERAL","1"
"1000121","LITERAL","1"
"1000122","IDENTIFIER","ff_put_no_rnd_pixels8_x2_exact_3dnow"
"1000123","<operator>.assignment","c->put_no_rnd_pixels_tab[1][2] = ff_put_no_rnd_pixels8_y2_exact_3dnow"
"1000124","<operator>.indirectIndexAccess","c->put_no_rnd_pixels_tab[1][2]"
"1000125","<operator>.indirectIndexAccess","c->put_no_rnd_pixels_tab[1]"
"1000126","<operator>.indirectFieldAccess","c->put_no_rnd_pixels_tab"
"1000127","IDENTIFIER","c"
"1000128","FIELD_IDENTIFIER","put_no_rnd_pixels_tab"
"1000129","LITERAL","1"
"1000130","LITERAL","2"
"1000131","IDENTIFIER","ff_put_no_rnd_pixels8_y2_exact_3dnow"
"1000132","CONTROL_STRUCTURE","if (EXTERNAL_MMXEXT(cpu_flags))"
"1000133","EXTERNAL_MMXEXT","EXTERNAL_MMXEXT(cpu_flags)"
"1000134","IDENTIFIER","cpu_flags"
"1000136","CONTROL_STRUCTURE","if (flags & AV_CODEC_FLAG_BITEXACT)"
"1000137","<operator>.and","flags & AV_CODEC_FLAG_BITEXACT"
"1000138","IDENTIFIER","flags"
"1000139","IDENTIFIER","AV_CODEC_FLAG_BITEXACT"
"1000141","<operator>.assignment","c->put_no_rnd_pixels_tab[1][1] = ff_put_no_rnd_pixels8_x2_exact_mmxext"
"1000142","<operator>.indirectIndexAccess","c->put_no_rnd_pixels_tab[1][1]"
"1000143","<operator>.indirectIndexAccess","c->put_no_rnd_pixels_tab[1]"
"1000144","<operator>.indirectFieldAccess","c->put_no_rnd_pixels_tab"
"1000145","IDENTIFIER","c"
"1000146","FIELD_IDENTIFIER","put_no_rnd_pixels_tab"
"1000147","LITERAL","1"
"1000148","LITERAL","1"
"1000149","IDENTIFIER","ff_put_no_rnd_pixels8_x2_exact_mmxext"
"1000150","<operator>.assignment","c->put_no_rnd_pixels_tab[1][2] = ff_put_no_rnd_pixels8_y2_exact_mmxext"
"1000151","<operator>.indirectIndexAccess","c->put_no_rnd_pixels_tab[1][2]"
"1000152","<operator>.indirectIndexAccess","c->put_no_rnd_pixels_tab[1]"
"1000153","<operator>.indirectFieldAccess","c->put_no_rnd_pixels_tab"
"1000154","IDENTIFIER","c"
"1000155","FIELD_IDENTIFIER","put_no_rnd_pixels_tab"
"1000156","LITERAL","1"
"1000157","LITERAL","2"
"1000158","IDENTIFIER","ff_put_no_rnd_pixels8_y2_exact_mmxext"
"1000159","METHOD_RETURN","av_cold void"
"1000166","METHOD","EXTERNAL_AMD3DNOW"
"1000167","PARAM","p1"
"1000168","METHOD_RETURN","ANY"
"1000169","BLOCK","<empty>"
"1000170","METHOD","<operator>.assignment"
"1000171","PARAM","p1"
"1000172","PARAM","p2"
"1000173","METHOD_RETURN","ANY"
"1000174","BLOCK","<empty>"
"1000175","METHOD","EXTERNAL_MMXEXT"
"1000176","PARAM","p1"
"1000177","METHOD_RETURN","ANY"
"1000178","BLOCK","<empty>"
"1000179","METHOD","<operator>.indirectIndexAccess"
"1000180","PARAM","p1"
"1000181","PARAM","p2"
"1000182","METHOD_RETURN","ANY"
"1000183","BLOCK","<empty>"
"1000184","METHOD","<operator>.and"
"1000185","PARAM","p1"
"1000186","PARAM","p2"
"1000187","METHOD_RETURN","ANY"
"1000188","BLOCK","<empty>"
"1000189","METHOD","<operator>.indirectFieldAccess"
"1000190","PARAM","p1"
"1000191","PARAM","p2"
"1000192","METHOD_RETURN","ANY"
"1000193","BLOCK","<empty>"
